epoch,model_ppl,model_acc,model_epsilon,model_delta,model_alpha,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
0,50434.7282047,0.0,0.152,8e-05,63.0,1.918436758511362,264541,51230.433114914624,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-50434.7282047_acc-0.00000_epoch-0_ep-0.152_dl-8e-05_ap-63.00
1,3155.9743592,0.06286,2.548,8e-05,4.8,0.5300640250526101,692524,36655.95680663313,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-3155.9743592_acc-0.06286_epoch-1_ep-2.548_dl-8e-05_ap-4.80
1,2208.4309019,0.06286,2.61,8e-05,4.8,0.43162538704974196,741426,20927.678720394746,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-2208.4309019_acc-0.06286_epoch-1_ep-2.610_dl-8e-05_ap-4.80
1,1871.7748751,0.06286,2.643,8e-05,4.7,0.376228634425388,770449,16771.090942551273,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1871.7748751_acc-0.06286_epoch-1_ep-2.643_dl-8e-05_ap-4.70
1,1722.7271883,0.06286,2.672,8e-05,4.7,0.33147962765060157,794721,17716.896846073738,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1722.7271883_acc-0.06286_epoch-1_ep-2.672_dl-8e-05_ap-4.70
1,1599.3219263,0.05714,2.698,8e-05,4.6,0.2856058786583766,820397,17318.88763293288,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1599.3219263_acc-0.05714_epoch-1_ep-2.698_dl-8e-05_ap-4.60
1,1515.2736467,0.06286,2.715,8e-05,4.6,0.26672202661852396,831206,18760.911069973125,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1515.2736467_acc-0.06286_epoch-1_ep-2.715_dl-8e-05_ap-4.60
1,1435.308482,0.01714,2.73,8e-05,4.6,0.24369571913402055,844579,19277.807987628537,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1435.3084820_acc-0.01714_epoch-1_ep-2.730_dl-8e-05_ap-4.60
1,1394.0852785,0.05714,2.747,8e-05,4.6,0.23656122917878974,848766,20271.61214367594,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1394.0852785_acc-0.05714_epoch-1_ep-2.747_dl-8e-05_ap-4.60
1,1318.1415036,0.06286,2.762,8e-05,4.6,0.2226716098392174,856977,21108.56869557293,1000000,model/partialdp/20210418/191438/data-wikitext-2-add10b_model-LSTM_ebd-200_hid-200_bi-False_lay-1_tie-False_tok-50258_bs-7_bptt-35_lr-0.1_dp-True_partial-True_0hidden-False_sigma-0.5_norm-0.001_dl-8e-05.pt_ppl-1318.1415036_acc-0.06286_epoch-1_ep-2.762_dl-8e-05_ap-4.60
