epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
30,373.177368,0.24571,0.4836802041138277,715151,38918.5017061786,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-373.1773680_acc-0.24571_epoch-30,188.23,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-373.1773680_acc-0.24571_epoch-30
31,370.5170271,0.25143,0.246066915785903,843192,38311.82996142372,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-370.5170271_acc-0.25143_epoch-31,192.93,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-370.5170271_acc-0.25143_epoch-31
32,368.0247085,0.24571,0.1464737540382579,903456,37009.99824288839,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-368.0247085_acc-0.24571_epoch-32,197.64,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-368.0247085_acc-0.24571_epoch-32
33,366.2202577,0.25143,0.3161544561977187,803208,30102.56105259818,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-366.2202577_acc-0.25143_epoch-33,202.36,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-366.2202577_acc-0.25143_epoch-33
34,364.4928199,0.25714,0.1971963264574121,872244,33867.562421024886,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-364.4928199_acc-0.25714_epoch-34,207.07,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-364.4928199_acc-0.25714_epoch-34
35,362.8431181,0.25143,0.0977612198530835,934482,44710.62570644948,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-362.8431181_acc-0.25143_epoch-35,211.59,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-362.8431181_acc-0.25143_epoch-35
36,360.7509407,0.26286,0.1328088502935216,912054,38830.05255702477,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-360.7509407_acc-0.26286_epoch-36,214.93,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-360.7509407_acc-0.26286_epoch-36
37,360.3487598,0.25143,0.237244692929103,848364,31822.17203068442,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-360.3487598_acc-0.25143_epoch-37,218.29,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-360.3487598_acc-0.25143_epoch-37
38,358.1669033,0.25714,0.2486716851389978,841671,29955.503597778697,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-358.1669033_acc-0.25714_epoch-38,221.64,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-358.1669033_acc-0.25714_epoch-38
39,357.0000813,0.25143,0.1837886139678382,880388,31248.10692145085,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-357.0000813_acc-0.25143_epoch-39,224.99,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-357.0000813_acc-0.25143_epoch-39
40,356.3548043,0.25143,0.1919906550416996,875397,31360.437042476347,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-356.3548043_acc-0.25143_epoch-40,228.34,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-356.3548043_acc-0.25143_epoch-40
41,354.005698,0.25143,0.165261281440106,891767,30325.59164035012,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-354.0056980_acc-0.25143_epoch-41,231.68,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-354.0056980_acc-0.25143_epoch-41
42,353.291994,0.26857,0.2798423846934739,823681,31297.512622501046,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-353.2919940_acc-0.26857_epoch-42,235.03,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-353.2919940_acc-0.26857_epoch-42
43,352.5374635,0.26286,0.3920443284231005,762049,23841.37157628233,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-352.5374635_acc-0.26286_epoch-43,238.39,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-352.5374635_acc-0.26286_epoch-43
44,350.5968189,0.26286,0.3351385587574178,792708,17733.542943251134,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.5968189_acc-0.26286_epoch-44,241.74,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.5968189_acc-0.26286_epoch-44
45,350.28351,0.25714,0.5283401310880862,693352,18516.13564023681,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.2835100_acc-0.25714_epoch-45,245.09,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.2835100_acc-0.25714_epoch-45
46,350.8418167,0.26286,0.3732786600372293,772026,18656.267742563017,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.8418167_acc-0.26286_epoch-46,248.45,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.8418167_acc-0.26286_epoch-46
47,348.8653628,0.25714,0.3556582230961496,781513,18851.72314539437,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-348.8653628_acc-0.25714_epoch-47,251.81,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-348.8653628_acc-0.25714_epoch-47
48,347.7374393,0.25714,0.3692497395114067,774185,19709.951876498875,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-347.7374393_acc-0.25714_epoch-48,255.17,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-347.7374393_acc-0.25714_epoch-48
49,346.7492143,0.25714,0.3685902106949505,774539,20051.658890834577,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-346.7492143_acc-0.25714_epoch-49,258.52,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-346.7492143_acc-0.25714_epoch-49
50,345.7488897,0.25714,0.3067534838310024,808459,21320.460667747207,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-345.7488897_acc-0.25714_epoch-50,261.87,8e-05,1.1,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-345.7488897_acc-0.25714_epoch-50
